# Logfile created on 2012-12-04 11:55:48 +0530 by logger.rb/31641
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (4ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Compiled home.css  (38ms)  (pid 11545)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 200 OK (2ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Compiled home.css  (19ms)  (pid 11545)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 200 OK (2ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (1ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (4ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (0ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (84ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
Served asset /jquery-ui.js - 304 Not Modified (1ms)
Served asset /jquery_ujs.js - 304 Not Modified (0ms)
Served asset /bootstrap.js - 304 Not Modified (0ms)
Served asset /jquery.fancybox.js - 304 Not Modified (0ms)
Served asset /application.js - 304 Not Modified (3ms)
Served asset /home.css - 304 Not Modified (0ms)
Served asset /home.js - 304 Not Modified (0ms)
Served asset /bg_pattern.png - 304 Not Modified (0ms)
Served asset /jquery-ui.css - 304 Not Modified (0ms)
Served asset /bootstrap.css - 304 Not Modified (0ms)
Served asset /jquery.fancybox.css - 304 Not Modified (0ms)
Served asset /application.css - 304 Not Modified (1ms)
Served asset /jquery.js - 304 Not Modified (1ms)
